sample_idx,is_outlier,iforest_score
248,0,0.11394537583092151
249,0,0.07849919155796176
250,0,0.159440817699614
251,0,0.11237294312320473
252,0,0.1699972472916978
253,0,0.16201120938239943
254,0,0.1356780702224133
255,0,0.1446454252735772
256,0,0.06454582648931201
257,0,0.1374212789304458
258,0,0.09446026493772247
259,0,0.16436185047402063
260,0,0.1775669355730301
261,1,-0.01133890089549805
262,0,0.17910409339811606
263,0,0.131974038654472
264,0,0.17191127341396262
265,0,0.16861123097103115
266,0,0.16110557831312688
267,0,0.03944463312555113
268,0,0.17833991385119813
269,0,0.18326496086109445
270,0,0.12724635417385544
271,0,0.16721033193168022
272,0,0.14955573836485764
273,0,0.15248417230848538
274,0,0.003488389826958316
275,0,0.17377579394145165
276,0,0.11369517468857432
277,0,0.1630877218997372
278,0,0.1760839472732713
279,0,0.17509983718582356
280,0,0.03233972403093621
281,0,0.1800530079491227
282,0,0.12104537233025109
283,0,0.14311704673474723
284,0,0.13696025961436753
285,0,0.13391147650785407
286,0,0.02195389800599651
287,0,0.002930739778528202
288,0,0.005442851365389467
289,0,0.11996243063190776
290,0,0.07352720199748619
291,0,0.10558759782541072
292,0,0.16471383902382464
293,1,-0.027128753288703122
294,0,0.15691657809023551
295,0,0.010917730784064439
296,0,0.15032784295458151
297,0,0.09623218275511786
298,0,0.1658002436528616
299,0,0.1409276082194192
300,0,0.1149946346532646
301,0,0.12614730870095087
302,0,0.10355202621097431
303,0,0.14784280158705337
304,0,0.17304738758316301
305,0,0.13566636078025968
306,0,0.14851702495674585
307,0,0.06017789248128058
308,0,0.16137481170948725
309,0,0.09548657489091178
310,0,0.16340291151128788
311,0,0.16000580550770255
312,0,0.1568158575140533
313,0,0.044178906235296134
314,0,0.16427521222974428
315,0,0.12884420966109345
316,0,0.10361788885396517
317,0,0.10390984485557192
318,0,0.10692745136577148
319,0,0.12383256873568932
320,0,0.16648032897545095
321,0,0.1527622780265468
322,0,0.15981545839784878
323,0,0.16876230362256378
324,0,0.1620135192391987
325,0,0.17232543030372455
326,0,0.14931741293029493
327,0,0.1641325245216131
328,0,0.1774359636352647
329,1,-0.022690781044706232
330,0,0.16265912470962646
331,0,0.16459551485513202
332,0,0.09028949626961624
333,0,0.1621863307402448
334,0,0.14965481431822958
335,0,0.12218622742632268
336,0,0.1400105742918628
337,0,0.16545087216615462
338,0,0.11934724581959477
339,0,0.12063317508647758
340,0,0.17131131473627237
341,0,0.006257177059833641
342,0,0.1589202811927094
343,0,0.004494404952060771
344,0,0.1424064011656339
345,0,0.09259215422440409
346,1,-0.013715904670589474
347,0,0.14511262057604046
348,0,0.16876960659128354
349,0,0.1777239153681177
350,0,0.17348765838586228
351,0,0.16936406640176993
352,0,0.1472984175178486
353,0,0.16846846273170213
354,0,0.17465286800920704
355,0,0.1425932979899175
356,0,0.16042459890327676
357,0,0.16211896802592568
